trade_date,active_member_count,suspended_member_count,daily_bar_coverage,daily_basic_coverage,industry_coverage,limit_price_coverage,minimum_coverage,passed,issue
2015-08-10,500,82,1.0,1.0,0.984,1.0,0.984,True,
2015-08-11,500,82,1.0,1.0,0.984,1.0,0.984,True,
2015-08-12,500,81,1.0,1.0,0.984,1.0,0.984,True,
2015-08-13,500,81,1.0,1.0,0.984,1.0,0.984,True,
2015-08-14,500,78,1.0,1.0,0.984,1.0,0.984,True,
2015-08-17,500,76,1.0,1.0,0.984,1.0,0.984,True,
2015-08-18,500,73,1.0,1.0,0.984,1.0,0.984,True,
2015-08-19,500,70,1.0,1.0,0.984,1.0,0.984,True,
2015-08-20,500,72,1.0,1.0,0.984,1.0,0.984,True,
2015-08-21,500,71,1.0,1.0,0.984,1.0,0.984,True,
2015-08-24,500,70,1.0,1.0,0.984,1.0,0.984,True,
2015-08-25,500,71,1.0,1.0,0.984,1.0,0.984,True,
2015-08-26,500,75,1.0,1.0,0.984,1.0,0.984,True,
2015-08-27,500,77,1.0,1.0,0.984,1.0,0.984,True,
2015-08-28,500,77,1.0,1.0,0.984,1.0,0.984,True,
2015-08-31,500,78,1.0,1.0,0.984,1.0,0.984,True,
2015-09-01,500,78,1.0,1.0,0.984,1.0,0.984,True,
2015-09-02,500,78,1.0,1.0,0.984,1.0,0.984,True,
2015-09-07,500,80,1.0,1.0,0.984,1.0,0.984,True,
2015-09-08,500,75,1.0,1.0,0.984,1.0,0.984,True,
2015-09-09,500,74,1.0,1.0,0.984,1.0,0.984,True,
2015-09-10,500,69,1.0,1.0,0.984,1.0,0.984,True,
2015-09-11,500,68,1.0,1.0,0.984,1.0,0.984,True,
2015-09-14,500,67,1.0,1.0,0.984,1.0,0.984,True,
2015-09-15,500,66,1.0,1.0,0.984,1.0,0.984,True,
2015-09-16,500,64,1.0,1.0,0.984,1.0,0.984,True,
2015-09-17,500,65,1.0,1.0,0.984,1.0,0.984,True,
2015-09-18,500,65,1.0,1.0,0.984,1.0,0.984,True,
2015-09-21,500,65,1.0,1.0,0.984,1.0,0.984,True,
2015-09-22,500,65,1.0,1.0,0.984,1.0,0.984,True,
2015-09-23,500,68,1.0,1.0,0.984,1.0,0.984,True,
2015-09-24,500,68,1.0,1.0,0.984,1.0,0.984,True,
2015-09-25,500,68,1.0,1.0,0.984,1.0,0.984,True,
2015-09-28,500,67,1.0,1.0,0.984,1.0,0.984,True,
2015-09-29,500,68,1.0,1.0,0.984,1.0,0.984,True,
2015-09-30,500,67,1.0,1.0,0.984,1.0,0.984,True,
2015-10-08,500,67,1.0,1.0,0.984,1.0,0.984,True,
2015-10-09,500,69,1.0,1.0,0.984,1.0,0.984,True,
2015-10-12,500,70,1.0,1.0,0.984,1.0,0.984,True,
2015-10-13,500,71,1.0,1.0,0.984,1.0,0.984,True,
2015-10-14,500,69,1.0,1.0,0.984,1.0,0.984,True,
2015-10-15,500,70,1.0,1.0,0.984,1.0,0.984,True,
2015-10-16,500,70,1.0,1.0,0.984,1.0,0.984,True,
2015-10-19,500,71,1.0,1.0,0.984,1.0,0.984,True,
2015-10-20,500,70,1.0,1.0,0.984,1.0,0.984,True,
2015-10-21,500,72,1.0,1.0,0.984,1.0,0.984,True,
2015-10-22,500,73,1.0,1.0,0.984,1.0,0.984,True,
2015-10-23,500,73,1.0,1.0,0.984,1.0,0.984,True,
2015-10-26,500,71,1.0,1.0,0.984,1.0,0.984,True,
2015-10-27,500,71,1.0,1.0,0.984,1.0,0.984,True,
2015-10-28,500,68,1.0,1.0,0.984,1.0,0.984,True,
2015-10-29,500,67,1.0,1.0,0.984,1.0,0.984,True,
2015-10-30,500,67,1.0,1.0,0.984,1.0,0.984,True,
2015-11-02,500,63,1.0,1.0,0.984,1.0,0.984,True,
2015-11-03,500,59,1.0,1.0,0.984,1.0,0.984,True,
2015-11-04,500,56,1.0,1.0,0.984,1.0,0.984,True,
2015-11-05,500,56,1.0,1.0,0.984,1.0,0.984,True,
2015-11-06,500,59,1.0,1.0,0.984,1.0,0.984,True,
2015-11-09,500,59,1.0,1.0,0.984,1.0,0.984,True,
2015-11-10,500,53,1.0,1.0,0.984,1.0,0.984,True,
2015-11-11,500,51,1.0,1.0,0.984,1.0,0.984,True,
2015-11-12,500,50,1.0,1.0,0.984,1.0,0.984,True,
2015-11-13,500,50,1.0,1.0,0.984,1.0,0.984,True,
2015-11-16,500,49,1.0,1.0,0.984,1.0,0.984,True,
2015-11-17,500,52,1.0,1.0,0.984,1.0,0.984,True,
2015-11-18,500,50,1.0,1.0,0.984,1.0,0.984,True,
2015-11-19,500,52,1.0,1.0,0.984,1.0,0.984,True,
2015-11-20,500,54,1.0,1.0,0.984,1.0,0.984,True,
2015-11-23,500,54,1.0,1.0,0.984,1.0,0.984,True,
2015-11-24,500,51,1.0,1.0,0.984,1.0,0.984,True,
2015-11-25,500,49,1.0,1.0,0.984,1.0,0.984,True,
2015-11-26,500,47,1.0,1.0,0.984,1.0,0.984,True,
2015-11-27,500,46,1.0,1.0,0.984,1.0,0.984,True,
2015-11-30,500,45,1.0,1.0,0.984,1.0,0.984,True,
2015-12-01,500,46,1.0,1.0,0.984,1.0,0.984,True,
2015-12-02,500,44,1.0,1.0,0.984,1.0,0.984,True,
2015-12-03,500,46,1.0,1.0,0.984,1.0,0.984,True,
2015-12-04,500,47,1.0,1.0,0.984,1.0,0.984,True,
2015-12-07,500,46,1.0,1.0,0.984,1.0,0.984,True,
2015-12-08,500,44,1.0,1.0,0.984,1.0,0.984,True,
2015-12-09,500,43,1.0,1.0,0.984,1.0,0.984,True,
2015-12-10,500,44,1.0,1.0,0.984,1.0,0.984,True,
2015-12-11,500,43,1.0,1.0,0.984,1.0,0.984,True,
2015-12-14,500,38,1.0,1.0,0.988,1.0,0.988,True,
